listing_id,nights_booked,payment_method,amount,booking_date
15416189,11,coupon,220,2016-12-18
15430351,15,bank_transfer,1560,2018-09-05
15447429,6,credit_card,300,2019-05-06
15447463,11,bank_transfer,484,2017-02-02
15452539,5,gift_card,250,2019-03-12
15457092,6,gift_card,336,2018-04-14
15459808,9,gift_card,882,2020-11-26
15460335,6,credit_card,192,2020-10-13
15467074,6,gift_card,180,2021-05-06
15472852,11,bank_transfer,2200,2019-04-16
15477104,6,bank_transfer,432,2020-06-07
15481307,101,bank_transfer,4848,2020-10-29
15490673,8,coupon,208,2017-09-12
15491436,10,gift_card,850,2017-12-15
15491627,10,bank_transfer,340,2021-07-19
15494108,69,gift_card,3450,2021-12-27
15514414,9,gift_card,630,2018-06-16
15521106,11,gift_card,330,2020-04-12
15528379,11,credit_card,2409,2017-06-01
15529822,4,coupon,68,2019-04-30
15531727,9,bank_transfer,135,2017-05-25
15540460,38,bank_transfer,1140,2020-12-18
15541532,90,gift_card,2880,2021-12-19
15545947,14,credit_card,266,2017-02-01
15546504,11,bank_transfer,440,2019-09-02
15547373,11,coupon,1320,2021-01-24
15547541,95,credit_card,4560,2021-12-06
15547669,11,gift_card,1375,2017-01-07
15554939,9,coupon,270,2021-07-04
15555152,8,gift_card,520,2018-12-19
15556410,11,gift_card,385,2021-04-08
15559395,7,bank_transfer,266,2017-07-15
15559518,69,coupon,4830,2021-10-10
15559532,185,bank_transfer,9250,2021-11-30
15562974,14,bank_transfer,560,2021-04-27
15565460,10,bank_transfer,500,2019-07-15
15600124,10,gift_card,1060,2019-10-29
15611440,100,gift_card,12000,2018-10-04
15614917,7,coupon,350,2018-06-09
15627984,6,gift_card,78,2021-12-09
15629845,4,coupon,120,2017-01-13
15640814,11,coupon,550,2021-12-26
15646289,17,gift_card,833,2018-02-24
15646852,10,coupon,400,2021-01-05
15650663,10,bank_transfer,360,2020-03-15
15651482,11,bank_transfer,902,2020-04-02
15652886,10,gift_card,320,2020-10-18
15653871,7,coupon,287,2021-01-15
15660868,8,credit_card,920,2017-08-20
15694049,34,bank_transfer,816,2020-03-02
15697935,7,gift_card,840,2021-12-06
15700652,8,credit_card,144,2020-12-18
15702448,7,bank_transfer,175,2016-12-04
15709384,16,gift_card,464,2017-12-10
15711132,12,bank_transfer,300,2017-07-15
15712025,10,credit_card,1110,2020-02-10
15714854,8,credit_card,616,2021-02-21
15728111,8,credit_card,320,2018-10-27
15732435,5,bank_transfer,145,2018-09-30
15748817,5,bank_transfer,155,2017-09-30
15753003,11,bank_transfer,319,2017-09-12
15754825,370,credit_card,20350,2021-11-10
15754848,19,gift_card,950,2017-11-28
15755581,12,credit_card,360,2020-08-27
15755809,12,gift_card,624,2018-08-20
15757575,9,credit_card,342,2020-12-24
15763658,12,coupon,180,2021-04-07
15763674,10,credit_card,1390,2019-01-17
15767215,11,credit_card,1034,2020-03-07
15767217,7,coupon,497,2017-11-30
15768501,9,bank_transfer,216,2019-09-07
15772030,11,coupon,308,2019-08-22
15772461,12,bank_transfer,288,2021-03-07
15772526,11,coupon,275,2020-06-17
15778822,7,bank_transfer,448,2021-05-26
15778858,11,gift_card,1012,2020-09-06
15780047,23,gift_card,1150,2021-11-25
15782210,14,gift_card,1400,2017-10-18
15794200,9,bank_transfer,315,2021-05-03
15797630,9,gift_card,360,2021-11-21
15809088,14,credit_card,574,2020-11-22
15810587,14,credit_card,1386,2021-12-04
15810911,95,credit_card,8835,2019-09-14
15825734,12,bank_transfer,480,2019-07-05
15837534,8,credit_card,400,2019-03-03
15839744,9,bank_transfer,693,2019-06-09
15840118,7,coupon,133,2016-11-18
15840279,9,credit_card,675,2020-09-11
15849674,6,bank_transfer,600,2018-02-26
15850068,6,credit_card,234,2018-10-01
15850581,13,bank_transfer,2457,2021-10-05
15857016,12,coupon,540,2020-10-15
15857053,6,gift_card,270,2021-05-20
15863074,12,credit_card,960,2018-04-21
15865988,8,bank_transfer,240,2021-11-21
15866184,7,bank_transfer,147,2020-03-16
15867000,5,coupon,190,2021-12-02
15868988,11,gift_card,792,2019-02-25
15872226,12,coupon,1548,2020-03-21
15878264,11,bank_transfer,374,2018-10-01
15879336,24,credit_card,1560,2020-07-21
15879702,9,credit_card,585,2020-04-02
15880956,7,gift_card,574,2020-10-07
15881342,5,bank_transfer,305,2020-06-03
15882283,14,coupon,1680,2016-11-27
15884367,11,coupon,770,2017-11-09
15884562,70,gift_card,9030,2017-03-27
15885999,10,bank_transfer,200,2017-02-06
15891764,8,gift_card,360,2020-09-12
15895143,7,bank_transfer,553,2018-01-24
15895668,38,gift_card,2622,2019-08-11
15900154,8,coupon,560,2021-11-23
15910869,11,credit_card,715,2020-02-18
15913467,23,gift_card,1886,2019-05-20
15920000,19,credit_card,1710,2021-12-09
15930249,28,bank_transfer,1820,2017-05-16
15933853,9,credit_card,207,2020-01-22
15935417,304,coupon,11552,2021-12-20
15939680,7,coupon,595,2019-09-29
15940459,13,gift_card,390,2018-11-14
15940518,8,coupon,224,2019-06-08
15941034,9,bank_transfer,585,2021-08-13
15951631,6,coupon,120,2021-08-10
15952729,98,bank_transfer,7350,2020-03-09
15954285,5,credit_card,125,2021-06-17
15959621,5,credit_card,75,2017-06-05
15962663,14,gift_card,280,2018-05-12
15962767,13,gift_card,650,2019-07-20
15963527,14,coupon,840,2017-03-10
15965618,12,bank_transfer,624,2017-07-13
15966820,6,bank_transfer,216,2020-11-24
15969179,10,coupon,1900,2017-11-23
15974288,8,bank_transfer,312,2020-02-09
15974475,39,coupon,1755,2019-09-09
15976861,11,gift_card,220,2018-11-19
15977484,11,gift_card,352,2021-08-31
15978118,13,credit_card,936,2019-03-05
15978345,4,gift_card,380,2018-09-15
15980239,4,bank_transfer,100,2017-05-24
15982146,7,gift_card,469,2017-09-11
15983550,9,bank_transfer,342,2021-10-07
15985692,9,coupon,504,2020-02-16
15986115,8,credit_card,720,2021-12-16
15993543,6,coupon,1194,2019-01-15
15996037,6,coupon,192,2018-06-21
15997358,9,bank_transfer,360,2021-12-09
15998589,11,gift_card,1518,2017-12-08
16008979,9,gift_card,504,2020-05-03
16009168,10,credit_card,350,2019-03-15
16009783,7,coupon,1267,2017-09-02
16010463,4,gift_card,120,2019-10-03
16013993,4,gift_card,180,2021-12-14
16016726,11,coupon,440,2017-02-11
16024386,34,coupon,4080,2019-01-21
16025032,6,gift_card,600,2020-12-10
16026081,9,credit_card,342,2021-09-20
16028905,15,bank_transfer,1275,2017-06-09
16033774,11,coupon,429,2021-05-03
16034651,7,bank_transfer,203,2021-12-10
16036936,12,credit_card,528,2020-11-26
16039046,10,gift_card,400,2021-09-28
16041518,188,gift_card,12220,2021-11-22
16046181,17,coupon,1462,2020-04-05
16046990,8,bank_transfer,464,2020-08-19
16049454,5,credit_card,650,2020-02-12
16050021,11,bank_transfer,330,2017-10-10
16050029,9,gift_card,306,2020-03-24
16050152,8,credit_card,1128,2020-09-10
16050858,6,credit_card,414,2018-10-16
16052939,11,credit_card,374,2021-11-12
16053459,15,gift_card,1050,2019-09-24
16053818,35,credit_card,2065,2017-03-29
16060071,11,coupon,990,2019-08-13
16062284,11,bank_transfer,660,2018-01-18
16065123,24,credit_card,1680,2018-02-20
16067603,22,coupon,1210,2021-11-14
16068043,9,coupon,342,2021-12-06
16071055,9,bank_transfer,441,2019-12-26
16090762,11,bank_transfer,418,2021-11-08
16090806,11,credit_card,385,2020-10-31
16091735,10,bank_transfer,2290,2020-01-19
16092198,4,credit_card,164,2021-12-19
16104687,10,credit_card,390,2019-04-01
16106554,7,bank_transfer,259,2021-01-19
16106573,9,credit_card,225,2017-09-18
16106983,9,gift_card,675,2021-07-10
16109575,14,coupon,826,2020-02-14
16111424,6,coupon,186,2021-08-13
16119275,5,coupon,240,2018-09-08
16131138,8,coupon,240,2019-01-22
16132638,5,coupon,350,2021-09-11
16138501,13,gift_card,1872,2017-05-24
16139086,96,bank_transfer,3840,2019-02-03
16139718,15,gift_card,5505,2018-05-06
16140600,16,credit_card,400,2021-12-17
16141397,6,gift_card,300,2021-12-25
16142483,7,bank_transfer,560,2020-03-18
16143085,11,credit_card,737,2020-01-07
16144309,6,bank_transfer,174,2017-06-15
16145208,13,credit_card,637,2021-10-17
16145396,14,coupon,1260,2020-03-29
16150767,8,bank_transfer,192,2019-07-23
16152597,15,gift_card,1275,2019-10-01
16153317,6,bank_transfer,318,2017-01-13
16153411,12,gift_card,3600,2018-05-19
16155000,13,bank_transfer,1690,2021-12-04
16155678,7,coupon,336,2019-10-16
16156393,12,bank_transfer,900,2019-02-16
16156408,14,gift_card,294,2019-07-25
16158138,10,coupon,530,2019-06-28
16158888,7,gift_card,735,2021-11-28
16160121,13,coupon,1040,2020-07-04
16162003,99,coupon,4257,2019-04-09
16162725,8,bank_transfer,1600,2019-01-29
16167725,10,bank_transfer,850,2021-02-05
16167936,12,gift_card,1020,2019-09-05
16168421,34,gift_card,2346,2017-07-15
16169313,5,credit_card,310,2021-10-04
16169500,13,coupon,1300,2019-10-19
16170958,8,credit_card,488,2021-12-25
16171350,34,bank_transfer,1530,2021-10-31
16172185,13,credit_card,1950,2021-05-30
16176629,12,gift_card,684,2017-04-15
16181237,11,gift_card,275,2020-11-09
16182326,11,coupon,440,2020-03-11
16183018,9,credit_card,531,2017-02-11
16183489,6,credit_card,1410,2018-12-04
16184180,23,credit_card,230,2021-11-28
16188406,9,coupon,171,2020-01-26
16190051,7,credit_card,252,2020-05-30
16190835,12,coupon,3180,2021-11-17
16209988,9,bank_transfer,2133,2019-08-28
16215264,5,credit_card,370,2021-02-03
16219329,8,gift_card,248,2020-11-25
16222479,9,coupon,540,2021-06-19
16223878,8,gift_card,240,2018-05-22
16224457,19,credit_card,3515,2020-10-16
16228352,11,bank_transfer,902,2021-02-14
16235811,12,bank_transfer,360,2017-07-18
16235841,14,gift_card,980,2019-07-27
16237052,8,credit_card,528,2018-04-04
16237185,11,gift_card,550,2019-10-25
16237757,10,coupon,2330,2021-01-06
16238572,8,gift_card,120,2020-09-09
16245894,14,bank_transfer,3738,2018-10-28
16245953,14,bank_transfer,4858,2020-08-28
16247375,7,coupon,350,2020-05-04
16250536,10,coupon,2300,2021-07-21
16250675,8,gift_card,168,2020-07-26
16251071,7,gift_card,560,2018-04-24
16251314,7,credit_card,693,2020-03-26
16252509,11,coupon,2992,2021-02-15
16254081,8,bank_transfer,1808,2021-02-09
16255861,5,gift_card,620,2020-07-27
16261644,7,bank_transfer,560,2019-11-17
16262274,11,gift_card,1320,2021-12-03
16263932,14,coupon,420,2018-09-27
16265935,16,credit_card,1264,2019-03-12
16267760,7,gift_card,126,2019-06-01
16270935,14,credit_card,980,2019-04-04
16271808,8,gift_card,504,2018-02-20
16271850,15,credit_card,1215,2018-07-21
16274024,11,coupon,297,2021-12-31
16277755,12,bank_transfer,480,2021-12-09
16279439,39,gift_card,2925,2017-02-28
16279620,9,gift_card,720,2016-12-19
16280687,12,gift_card,3108,2017-03-04
16282694,5,credit_card,300,2017-12-07
16283253,11,gift_card,1265,2020-09-14
16283413,11,credit_card,473,2017-04-23
16285617,13,coupon,715,2021-11-21
16285825,9,bank_transfer,630,2021-11-14
16292235,8,bank_transfer,200,2016-12-28
16292538,8,coupon,328,2018-03-16
16292857,10,coupon,350,2020-02-15
16295639,8,bank_transfer,880,2021-05-05
16296276,7,bank_transfer,560,2019-01-21
16296818,4,gift_card,316,2019-10-09
16297217,11,bank_transfer,1089,2020-09-07
16298872,5,gift_card,345,2020-03-16
16299075,8,bank_transfer,960,2019-06-11
16299803,7,gift_card,840,2019-08-30
16304394,9,credit_card,1107,2020-05-14
16305782,5,credit_card,230,2017-06-05
16306071,9,bank_transfer,225,2017-06-06
16306716,40,credit_card,2400,2019-01-09
16307861,14,credit_card,952,2018-06-27
16309171,7,gift_card,595,2018-04-10
16311498,12,coupon,840,2021-07-30
16319021,7,bank_transfer,280,2021-12-08
16322398,97,credit_card,2910,2021-03-04
16322558,4,credit_card,72,2019-10-07
16322628,9,coupon,378,2019-08-04
16329953,13,credit_card,520,2018-11-28
16333600,13,bank_transfer,455,2017-03-19
16335576,11,gift_card,264,2017-11-29
16340312,11,coupon,924,2020-07-09
16340532,9,credit_card,954,2018-05-16
16342324,13,credit_card,1053,2018-10-18
16343285,7,credit_card,280,2021-12-30
16345782,7,coupon,441,2019-01-07
16346113,7,coupon,553,2018-06-14
16346786,96,coupon,4320,2020-11-01
16347909,7,bank_transfer,252,2021-08-12
16347943,9,coupon,540,2018-08-02
16347953,7,credit_card,161,2020-06-13
16350753,13,coupon,390,2018-11-30
16356184,188,gift_card,4700,2020-12-22
16363711,7,credit_card,175,2021-06-22
16364861,11,bank_transfer,495,2020-10-22
16365920,11,gift_card,385,2021-12-05
16373826,7,bank_transfer,252,2020-12-13
16376725,68,coupon,5440,2021-11-10
16377004,10,gift_card,810,2017-06-23
16377646,11,bank_transfer,275,2017-12-03
16378479,7,gift_card,140,2017-06-25
16378622,4,gift_card,136,2019-11-05
16378698,11,credit_card,308,2017-09-13
16383810,14,coupon,280,2021-11-16
16384959,15,gift_card,510,2021-05-23
16386098,5,gift_card,300,2019-12-10
16386214,7,credit_card,420,2019-06-03
16388235,8,bank_transfer,240,2020-02-04
16388476,14,bank_transfer,1064,2020-06-29
16390457,9,gift_card,360,2019-03-26
16391819,11,gift_card,770,2020-12-25
16391921,11,coupon,605,2017-09-02
16392430,9,coupon,360,2020-07-30
16393967,13,credit_card,325,2018-09-23
16393984,10,gift_card,210,2018-02-28
16400369,17,bank_transfer,1156,2021-09-24
16400708,9,coupon,342,2020-01-21
16405504,7,credit_card,1050,2018-08-03
16406507,12,credit_card,1200,2021-12-02
16410687,15,coupon,450,2019-01-05
16412432,5,bank_transfer,150,2021-09-21
16414084,9,gift_card,450,2019-08-28
16415711,10,gift_card,480,2021-03-18
16420530,9,credit_card,810,2019-06-18
16420952,10,coupon,480,2018-01-24
16421483,7,gift_card,161,2017-04-15
16423536,11,credit_card,550,2021-11-13
16423646,7,credit_card,315,2021-06-12
16424150,6,gift_card,330,2021-12-30
16432117,13,credit_card,1430,2019-03-26
16436062,10,coupon,350,2021-07-31
16436355,4,credit_card,48,2020-08-08
16436968,5,bank_transfer,125,2018-09-27
16438739,7,gift_card,189,2017-11-25
16438764,9,gift_card,720,2019-02-21
16446682,12,bank_transfer,480,2020-01-28
16451952,8,credit_card,440,2021-01-08
16452817,5,gift_card,300,2020-06-26
16453122,10,bank_transfer,350,2020-06-17
16459865,8,credit_card,800,2021-10-22
16462717,11,coupon,1210,2017-09-13
16465773,6,bank_transfer,594,2021-11-19
16467755,12,credit_card,432,2018-02-26
16468199,110,bank_transfer,8470,2018-10-27
16469975,10,coupon,560,2019-08-06
16470400,5,credit_card,175,2017-01-09
16483884,11,coupon,165,2019-12-03
16484124,7,credit_card,567,2021-11-06
16484565,11,credit_card,165,2017-01-28
16486301,10,credit_card,1000,2020-07-16
16487175,15,coupon,1800,2021-09-22
16489094,13,gift_card,650,2018-04-01
16498599,11,gift_card,869,2020-05-14
16510222,11,coupon,385,2021-11-23
16511645,10,bank_transfer,450,2019-01-25
16512872,7,credit_card,329,2021-06-15
16513064,12,credit_card,2388,2021-10-18
16513338,10,gift_card,300,2018-09-11
16525958,7,bank_transfer,7350,2019-07-22
16528097,6,gift_card,174,2019-11-27
16531917,37,gift_card,1295,2018-05-04
16534256,12,gift_card,780,2018-01-18
16536427,64,gift_card,2176,2021-12-07
16536961,13,gift_card,338,2020-01-18
16537514,10,credit_card,500,2018-08-17
16538267,11,gift_card,242,2018-06-19
16543844,12,credit_card,1200,2020-06-25
16546372,8,gift_card,184,2018-09-02
16547438,10,coupon,240,2017-03-04
16550258,6,bank_transfer,360,2020-08-15
16550265,5,bank_transfer,225,2018-11-24
16551948,33,bank_transfer,1881,2020-12-04
16554581,9,credit_card,270,2021-02-11
16556063,23,coupon,805,2021-01-06
16561947,7,credit_card,350,2017-01-31
16583319,5,gift_card,375,2019-07-23
16583885,8,gift_card,2560,2018-08-27
16590218,8,gift_card,792,2020-03-23
16592760,35,gift_card,2100,2017-08-18
16593828,10,coupon,350,2017-09-07
16594716,9,bank_transfer,153,2017-08-03
16595508,9,credit_card,324,2019-03-12
16598356,16,coupon,1440,2019-09-28
16599165,6,coupon,120,2020-03-21
16601440,97,bank_transfer,3492,2019-05-11
16608451,8,bank_transfer,200,2017-08-06
16608497,11,coupon,946,2018-12-20
16609096,123,coupon,6396,2021-11-01
16610187,5,gift_card,490,2021-04-13
16611253,13,credit_card,273,2020-10-27
16616403,11,credit_card,550,2018-12-30
16626860,10,coupon,400,2021-11-28
16630942,9,coupon,468,2019-02-03
16632030,5,bank_transfer,145,2021-01-01
16632560,15,gift_card,570,2021-12-26
16633391,9,credit_card,900,2017-07-20
16639428,4,credit_card,72,2018-06-20
16639512,13,gift_card,1040,2017-03-24
16639845,11,bank_transfer,440,2018-09-22
16639872,35,gift_card,2100,2019-01-16
16640020,13,credit_card,1300,2021-11-24
16640146,7,bank_transfer,525,2021-12-14
16640528,12,coupon,420,2017-04-10
16640603,8,bank_transfer,1424,2017-01-18
16642699,5,gift_card,225,2019-03-03
16646383,6,credit_card,312,2019-01-09
16649277,7,credit_card,126,2021-11-04
16653561,13,gift_card,624,2020-06-12
16655645,7,coupon,630,2018-03-16
16655959,13,gift_card,1560,2017-08-15
16661918,8,credit_card,360,2021-02-08
16668379,13,credit_card,325,2021-10-26
16669441,8,gift_card,288,2020-12-24
16669636,6,credit_card,360,2019-07-02
16670084,13,bank_transfer,507,2019-09-09
16671857,48,credit_card,3360,2020-07-30
16672140,5,gift_card,210,2021-11-26
16675608,7,gift_card,385,2021-11-05
16683655,9,bank_transfer,207,2019-10-04
16684398,8,credit_card,720,2020-05-20
16684717,7,gift_card,385,2019-01-21
16685287,11,credit_card,605,2021-12-09
16688037,11,credit_card,1419,2020-04-24
16689831,11,credit_card,869,2019-09-26
16692759,11,credit_card,385,2018-04-03
16695157,9,gift_card,900,2017-02-22
16696167,10,gift_card,640,2018-01-21
16698433,11,gift_card,275,2018-09-12
16699233,6,bank_transfer,210,2021-05-30
16699505,309,coupon,15141,2018-11-14
16701311,11,coupon,583,2021-01-03
16704289,9,gift_card,720,2019-12-15
16714366,7,gift_card,658,2020-03-02
16714590,6,coupon,990,2018-07-01
16718334,9,coupon,360,2021-09-22
16718773,10,gift_card,460,2019-11-27
16721054,11,coupon,165,2018-04-02
16723150,9,credit_card,1170,2018-04-17
16723388,15,gift_card,810,2021-06-28
16729649,15,credit_card,2850,2020-12-22
16730380,7,coupon,1036,2021-07-21
16733100,13,coupon,715,2020-11-13
16735554,7,bank_transfer,140,2021-11-27
16736758,7,credit_card,161,2020-01-24
16737528,7,coupon,245,2021-11-01
16739330,12,bank_transfer,900,2020-01-31
16744376,10,gift_card,250,2021-12-26
16744913,30,gift_card,840,2020-08-17
16749367,12,gift_card,216,2019-09-11
16752243,12,coupon,900,2017-07-10
16754826,8,bank_transfer,496,2021-11-29
16760803,11,coupon,528,2020-02-07
16761491,11,credit_card,1100,2020-10-17
16763841,9,gift_card,315,2021-12-07
16773256,10,bank_transfer,350,2018-02-28
16777646,8,gift_card,800,2021-07-01
16786042,8,credit_card,168,2020-06-26
16786723,10,gift_card,450,2019-01-30
16787139,11,coupon,572,2021-11-18
16792716,10,gift_card,300,2020-02-25
16793582,7,coupon,273,2021-12-26
16799799,10,coupon,8220,2020-01-07
16802255,6,credit_card,108,2018-10-25
16802556,14,gift_card,1190,2020-06-23
16804288,17,credit_card,255,2021-12-13
16807038,11,coupon,429,2021-06-23
16821096,6,coupon,828,2020-07-25
16821725,12,bank_transfer,1176,2017-10-21
16825403,9,bank_transfer,630,2020-12-20
16825701,10,coupon,500,2020-04-07
16826940,13,credit_card,1040,2021-11-24
16827174,6,coupon,186,2021-03-20
16828845,22,credit_card,704,2019-09-10
16833423,12,gift_card,600,2019-05-26
16836582,8,coupon,216,2020-04-28
16837242,12,coupon,1248,2021-12-22
16840507,10,bank_transfer,680,2020-06-08
16841623,7,bank_transfer,560,2017-05-21
16843084,12,gift_card,600,2021-09-10
16843457,10,credit_card,250,2020-03-09
16849504,15,credit_card,1350,2021-12-14
16851055,8,gift_card,280,2018-10-22
16851178,97,credit_card,3880,2021-11-29
16853223,12,bank_transfer,1092,2021-01-13
16865367,4,credit_card,280,2019-09-28
16865591,38,bank_transfer,2774,2021-02-28
16866648,8,bank_transfer,680,2020-09-27
16880131,6,coupon,300,2020-06-25
16882223,14,bank_transfer,1260,2019-10-08
16888365,11,credit_card,2519,2020-01-11
16889245,11,credit_card,550,2017-04-12
16889386,9,gift_card,2160,2018-06-19
16889808,9,coupon,1350,2021-01-30
16890609,11,credit_card,1430,2021-09-30
16903229,9,coupon,837,2019-08-23
16904811,10,gift_card,590,2021-05-26
16907989,97,bank_transfer,5335,2020-02-22
16912586,10,gift_card,610,2017-04-29
16920274,7,credit_card,973,2021-12-12
16922853,12,credit_card,1176,2019-03-11
16928974,9,bank_transfer,459,2021-12-01
16938875,14,credit_card,350,2021-12-11
16939260,10,gift_card,670,2021-09-03
16942085,7,gift_card,357,2019-10-08
16944215,5,gift_card,300,2019-11-13
16948945,14,bank_transfer,1190,2017-09-26
16951349,12,gift_card,1176,2021-12-05
16951746,9,gift_card,360,2019-05-08
16951874,6,coupon,588,2019-01-10
16952593,9,coupon,171,2020-04-12
16953100,7,gift_card,560,2020-08-02
16953862,28,coupon,1400,2021-11-24
16967537,6,gift_card,150,2019-04-26
16969284,5,coupon,210,2021-11-10
16970590,10,bank_transfer,790,2020-09-08
16972867,9,bank_transfer,315,2017-04-06
16975675,12,bank_transfer,840,2021-12-18
16975839,15,bank_transfer,375,2021-01-25
16979933,11,bank_transfer,957,2019-04-06
16996470,10,credit_card,1150,2018-05-07
17002104,15,coupon,780,2020-04-29
17002284,13,credit_card,1339,2020-07-01
17004576,13,gift_card,377,2021-04-22
17008663,38,credit_card,76000,2017-11-01
17012010,9,credit_card,720,2020-03-28
17012631,9,bank_transfer,315,2021-11-10
17017082,14,credit_card,490,2021-02-09
17019473,11,bank_transfer,605,2021-01-01
17020147,11,gift_card,1980,2019-04-16
17025032,13,gift_card,455,2020-02-27
17026133,12,coupon,240,2017-09-01
17034521,10,credit_card,150,2018-01-01
17039848,6,gift_card,270,2017-04-24
17041147,8,credit_card,280,2020-12-29
17041545,30,credit_card,510,2021-11-24
17042612,9,credit_card,450,2017-10-19
17043127,11,gift_card,715,2020-10-15
